lat,lon,name,accesslevel,wheelchair
51.0093373,13.7838249,Tornaer Straße,1,limited
51.0153963,13.7716771,Spitzwegstraße,1,limited
51.0156362,13.7718585,Spitzwegstraße,1,limited
51.0124191,13.7916167,Hülßestraße,-1,no
51.034441,13.703582,"Dresden, Würzburger Straße",1,limited
51.034991,13.703705,"Dresden, Würzburger Straße",1,limited
50.9384392,13.9660491,Kleinebenheit,0,unknown
51.0110117,13.8199885,Mockethaler Straße,1,limited
51.0111458,13.821371,Mockethaler Straße,1,limited
51.0426734,13.8779665,"Cunnersdorf, Gasthof",0,unknown
51.091695,13.687465,Seestraße,0,unknown
50.9979243,13.8671127,Freibad Wostra,2,yes
51.133385,13.5823879,Salzstraße,0,unknown
51.1363603,13.5852915,Genossenschaftsstraße,0,unknown
51.1393313,13.5915336,"Coswig, Siedlerstraße",2,yes
51.1455474,13.6083207,Spitzgrund Rotes Bächel,0,unknown
51.1756324,13.6202234,"Neuer Anbau, Zum Heidehof",-1,no
